Time;Ano_Trimestre;Open;High;Low;Close;Volume;Retorno_Pct;Z_Score;Amplitude_Relativa;Volume_Relativo;Tipo_Movimento;Limite_Dinamico;Num_Criterios;Criterio_Principal;Score_Confianca
2025-05-16 11:40:00;2025-Q2;413.9;413.9;411.01;411.33;29;-0.62;-3.44;5.65;5.6;Baixa;0.4;2;Volume Alto;100
2025-05-29 11:30:00;2025-Q2;395.4;395.4;392.38;393.66;27;-0.44;-3.19;7.39;5.5;Baixa;0.4;3;Volume Alto;100
2025-06-16 09:40:00;2025-Q2;383.73;385.6;383.73;385.6;33;0.49;3.73;5.52;5.6;Alta;0.4;2;Volume Alto;100
2025-06-20 12:05:00;2025-Q2;355.29;355.29;351.22;351.22;44;-1.15;-5.08;6.41;4.6;Baixa;0.4;2;Amplitude Alta;100
2025-06-25 11:00:00;2025-Q2;341.65;341.65;337.89;337.89;24;-1.1;-5.75;7.32;2.9;Baixa;0.4;2;Amplitude Alta;100
2025-01-06 10:45:00;2025-Q1;357.56;357.56;354.31;354.31;12;-0.91;-6.2;10.06;2.4;Baixa;0.4;2;Amplitude Alta;100
2025-01-08 14:20:00;2025-Q1;348.66;348.79;347.04;347.04;14;-0.46;-4.07;6.5;3.3;Baixa;0.4;2;Amplitude Alta;100
2025-01-14 11:50:00;2025-Q1;357.12;359.0;357.12;358.56;17;0.4;4.25;7.49;2.4;Alta;0.4;2;Amplitude Alta;100
2021-05-05 13:05:00;2021-Q2;145.2;145.2;143.23;143.73;37;-1.01;-3.95;6.25;3.6;Baixa;0.4;2;Amplitude Alta;100
2021-05-06 12:20:00;2021-Q2;147.01;148.53;147.01;148.48;50;1.0;4.2;6.1;5.1;Alta;0.4;3;Volume Alto;100
2021-05-06 12:40:00;2021-Q2;149.06;150.95;149.06;149.84;59;0.52;2.65;8.03;8.8;Alta;0.47;3;Volume Alto;100
2021-05-07 11:20:00;2021-Q2;147.34;147.34;146.02;146.02;22;-0.9;-3.8;6.52;4.9;Baixa;0.4;2;Amplitude Alta;100
2021-05-10 14:40:00;2021-Q2;144.63;146.39;144.63;146.39;14;1.22;5.6;9.23;3.9;Alta;0.4;2;Amplitude Alta;100
2021-05-12 13:15:00;2021-Q2;145.2;145.2;143.97;143.97;103;-0.85;-3.56;6.59;11.1;Baixa;0.4;3;Volume Alto;100
2021-05-19 09:45:00;2021-Q2;149.71;150.78;149.3;150.78;10;0.71;4.28;8.6;1.5;Alta;0.4;2;Amplitude Alta;100
2021-05-26 09:40:00;2021-Q2;150.45;151.77;150.45;151.72;37;0.84;4.44;6.52;3.4;Alta;0.4;2;Amplitude Alta;100
2021-05-26 09:45:00;2021-Q2;151.72;153.82;151.72;152.5;42;0.51;3.06;11.04;4.6;Alta;0.4;2;Amplitude Alta;100
2021-06-07 12:55:00;2021-Q2;159.68;160.75;159.68;160.75;17;0.67;4.29;6.22;3.7;Alta;0.4;2;Amplitude Alta;100
2021-06-08 13:00:00;2021-Q2;157.96;157.96;156.69;156.69;24;-0.8;-4.95;6.5;6.3;Baixa;0.4;3;Volume Alto;100
2021-06-21 11:40:00;2021-Q2;149.71;150.86;149.71;150.66;19;0.63;3.92;7.29;3.0;Alta;0.4;2;Amplitude Alta;100
2021-06-29 10:50:00;2021-Q2;158.41;158.41;157.1;157.1;24;-0.83;-4.46;7.02;5.0;Baixa;0.4;2;Amplitude Alta;100
2021-08-09 11:45:00;2021-Q3;175.03;176.51;175.03;176.51;16;0.85;4.71;6.33;3.4;Alta;0.4;2;Amplitude Alta;100
2021-08-13 12:30:00;2021-Q3;182.37;182.37;180.3;180.3;52;-1.14;-4.34;6.13;5.4;Baixa;0.4;3;Volume Alto;100
2021-08-17 11:50:00;2021-Q3;178.7;178.7;177.11;177.51;37;-0.67;-3.38;6.16;5.5;Baixa;0.4;3;Volume Alto;100
2021-08-17 13:10:00;2021-Q3;177.19;177.19;175.95;175.99;34;-0.68;-3.9;5.42;6.2;Baixa;0.4;2;Volume Alto;100
2021-08-31 15:40:00;2021-Q3;188.24;188.24;183.29;186.44;4;-0.96;-3.77;13.04;0.4;Baixa;0.4;2;Amplitude Alta;100
2021-09-01 10:15:00;2021-Q3;190.15;190.23;187.88;187.88;18;-1.19;-6.05;9.37;3.4;Baixa;0.4;2;Amplitude Alta;100
2021-04-05 11:45:00;2021-Q2;120.67;120.67;119.9;120.02;10;-0.54;-3.82;8.35;4.0;Baixa;0.4;2;Amplitude Alta;100
2021-04-14 09:50:00;2021-Q2;129.53;130.44;129.53;130.44;21;0.7;5.03;7.9;3.0;Alta;0.4;2;Amplitude Alta;100
2021-04-14 11:25:00;2021-Q2;128.55;129.25;128.55;129.12;20;0.44;3.61;7.11;5.1;Alta;0.4;3;Volume Alto;100
2021-04-16 12:50:00;2021-Q2;127.81;127.81;126.95;126.95;42;-0.67;-5.69;7.66;5.1;Baixa;0.4;3;Volume Alto;100
2021-04-22 13:15:00;2021-Q2;129.78;130.81;129.7;130.76;55;0.76;3.9;4.37;8.3;Alta;0.4;2;Volume Alto;100
2021-04-27 11:30:00;2021-Q2;138.89;140.08;138.89;139.75;30;0.62;3.14;6.54;5.3;Alta;0.4;3;Volume Alto;100
2021-04-29 10:50:00;2021-Q2;140.49;140.49;138.64;139.54;20;-0.68;-3.77;12.73;3.3;Baixa;0.4;2;Amplitude Alta;100
2021-04-29 11:05:00;2021-Q2;138.64;138.64;137.25;137.25;27;-1.0;-6.12;11.48;5.0;Baixa;0.4;2;Amplitude Alta;100
2025-01-21 14:15:00;2025-Q1;357.16;357.51;355.32;355.32;37;-0.52;-3.86;5.06;5.6;Baixa;0.4;2;Volume Alto;100
2025-02-04 13:30:00;2025-Q1;414.83;414.83;411.98;411.98;29;-0.69;-4.48;5.12;5.3;Baixa;0.4;2;Volume Alto;100
2025-02-14 14:45:00;2025-Q1;439.01;439.01;433.27;433.27;16;-1.31;-5.31;8.55;2.7;Baixa;0.4;2;Amplitude Alta;100
2025-02-14 14:50:00;2025-Q1;432.92;433.19;429.51;429.51;24;-0.79;-3.88;6.04;4.7;Baixa;0.4;2;Amplitude Alta;100
2025-02-14 14:55:00;2025-Q1;432.75;437.44;432.75;437.22;19;1.03;5.12;8.04;4.8;Alta;0.4;2;Amplitude Alta;100
2025-02-20 12:15:00;2025-Q1;435.29;435.29;432.49;432.49;52;-0.64;-3.91;5.85;5.2;Baixa;0.4;2;Volume Alto;100
2025-02-20 14:25:00;2025-Q1;427.67;427.84;422.93;425.04;15;-0.61;-4.15;12.52;5.0;Baixa;0.4;2;Amplitude Alta;100
2025-02-21 11:30:00;2025-Q1;429.42;429.42;426.79;426.79;35;-0.61;-4.85;9.81;10.1;Baixa;0.4;3;Volume Alto;100
2025-02-21 11:40:00;2025-Q1;423.77;424.16;420.65;422.28;6;-0.35;-3.06;13.75;3.4;Neutro;0.4;2;Amplitude Alta;100
2025-02-21 12:00:00;2025-Q1;420.13;422.14;419.34;422.14;3;0.48;4.45;12.18;1.7;Alta;0.4;2;Amplitude Alta;100
2025-03-07 13:00:00;2025-Q1;414.26;417.12;414.13;417.12;12;0.69;4.27;6.88;3.9;Alta;0.4;2;Amplitude Alta;100
2025-03-14 12:10:00;2025-Q1;417.56;417.56;415.45;415.45;14;-0.51;-4.75;7.65;3.1;Baixa;0.4;2;Amplitude Alta;100
2025-03-14 12:15:00;2025-Q1;415.05;415.05;412.19;413.42;20;-0.39;-4.3;11.22;5.1;Neutro;0.4;3;Volume Alto;100
2021-12-07 11:10:00;2021-Q4;224.76;224.76;221.53;222.23;43;-1.13;-4.8;6.65;5.4;Baixa;0.4;3;Volume Alto;100
2021-12-16 10:30:00;2021-Q4;219.77;219.77;217.94;217.94;32;-0.83;-4.8;6.51;4.7;Baixa;0.4;2;Amplitude Alta;100
2021-12-16 13:35:00;2021-Q4;219.11;220.59;219.11;220.59;38;0.68;4.18;6.01;9.2;Alta;0.4;3;Volume Alto;100
2021-07-01 11:50:00;2021-Q3;155.99;155.99;154.23;154.64;22;-0.87;-4.3;10.51;4.9;Baixa;0.4;2;Amplitude Alta;100
2021-07-01 12:25:00;2021-Q3;154.27;154.27;153.0;153.0;12;-0.82;-4.34;6.7;3.6;Baixa;0.4;2;Amplitude Alta;100
2021-07-01 14:10:00;2021-Q3;153.41;153.41;151.89;151.89;18;-0.99;-5.87;8.23;4.0;Baixa;0.4;2;Amplitude Alta;100
2021-07-23 10:45:00;2021-Q3;189.91;189.91;185.73;187.0;47;-1.53;-4.18;7.46;4.1;Baixa;0.4;2;Amplitude Alta;100
