Time	Open	High	Low	Close	Volume
2021.08.25 14:00:00	179.42	179.86	178.78	179.86	53
2021.08.25 13:00:00	179.54	180.22	179.46	179.66	15
2021.08.25 12:00:00	179.98	180.78	179.42	179.42	17
2021.08.25 11:00:00	179.5	179.86	179.18	179.46	49
2021.08.25 10:00:00	180.42	181.1	179.5	179.7	47
2021.08.25 09:00:00	180.3	182.05	179.66	180.66	102
2021.08.24 16:00:00	179.1	179.42	178.86	178.86	3
2021.08.24 15:00:00	178.7	178.7	178.7	178.7	2
2021.08.24 14:00:00	179.74	180.06	178.38	178.38	42
2021.08.24 13:00:00	179.78	180.06	179.02	179.5	35
2021.08.24 12:00:00	180.1	180.46	179.9	179.9	10
2021.08.24 11:00:00	179.5	180.3	179.1	180.14	42
2021.08.24 10:00:00	177.51	179.54	177.51	179.54	105
2021.08.24 09:00:00	175.51	178.3	175.51	177.31	138
2021.08.23 16:00:00	174.04	174.27	173.92	174.27	3
2021.08.23 14:00:00	175.27	175.31	174.51	174.79	46
2021.08.23 13:00:00	175.51	175.75	175.47	175.47	15
2021.08.23 12:00:00	174.31	175.51	174.31	175.11	35
2021.08.23 11:00:00	173.92	174.71	173.8	174.31	18
2021.08.23 10:00:00	174.31	174.87	173.68	174.04	71
2021.08.23 09:00:00	175.35	175.83	174.23	174.71	53
2021.08.20 16:00:00	173.92	174.0	173.44	173.52	8
2021.08.20 15:00:00	174.59	174.83	173.76	173.8	8
2021.08.20 14:00:00	176.15	176.15	174.23	174.87	17
2021.08.20 13:00:00	175.67	176.11	175.67	176.11	10
2021.08.20 12:00:00	175.51	176.23	175.51	175.67	28
2021.08.20 11:00:00	173.88	176.79	173.88	175.51	114
2021.08.20 10:00:00	173.52	173.84	173.52	173.84	15
2021.08.20 09:00:00	174.23	174.23	172.92	173.12	44
2021.08.19 16:00:00	175.51	175.51	174.79	174.79	4
2021.08.19 14:00:00	175.15	175.95	174.87	175.51	16
2021.08.19 13:00:00	174.71	175.55	174.71	175.15	22
2021.08.19 12:00:00	174.15	174.83	174.15	174.83	3
2021.08.19 11:00:00	174.04	175.07	173.92	174.59	26
2021.08.19 10:00:00	172.96	175.47	172.96	174.08	62
2021.08.19 09:00:00	175.11	175.11	171.52	172.72	72
2021.08.18 16:00:00	176.31	176.51	176.31	176.51	2
2021.08.18 15:00:00	176.35	176.55	176.35	176.55	3
2021.08.18 14:00:00	177.23	177.39	176.31	176.31	68
2021.08.18 13:00:00	177.19	177.51	176.71	177.51	31
