Time;Ano_Trimestre;Open;High;Low;Close;Volume;Retorno_Pct;Z_Score;Amplitude_Relativa;Volume_Relativo;Tipo_Movimento;Score_Confianca
2025-01-08 14:20:00;2025-Q1;348.66;348.79;347.04;347.04;14;-0.46;-4.07;6.5;3.3;Neutro;100
2021-10-05 12:20:00;2021-Q4;185.12;185.12;183.49;184.05;41;-0.58;-2.97;5.72;5.8;Neutro;100
2024-08-14 12:00:00;2024-Q3;252.74;252.74;251.46;251.46;13;-0.51;-4.31;6.3;3.8;Neutro;100
2024-08-14 13:20:00;2024-Q3;252.82;252.82;251.46;251.46;14;-0.54;-5.01;7.07;3.7;Neutro;100
2023-03-02 11:30:00;2023-Q1;173.34;173.34;171.94;171.94;8;-0.81;-5.08;6.4;2.7;Baixa;100
2023-08-18 10:55:00;2023-Q3;147.76;148.73;147.76;148.73;16;0.66;4.85;6.33;3.8;Neutro;100
2025-03-14 12:10:00;2025-Q1;417.56;417.56;415.45;415.45;14;-0.51;-4.75;7.65;3.1;Neutro;100
2025-03-14 12:15:00;2025-Q1;415.05;415.05;412.19;413.42;20;-0.39;-4.3;11.22;5.1;Neutro;100
2025-07-08 10:35:00;2025-Q3;316.01;316.01;313.12;313.12;21;-0.91;-4.83;7.2;4.5;Baixa;100
2021-04-16 12:50:00;2021-Q2;127.81;127.81;126.95;126.95;42;-0.67;-5.69;7.66;5.1;Neutro;100
2021-04-14 09:50:00;2021-Q2;129.53;130.44;129.53;130.44;21;0.7;5.03;7.9;3.0;Neutro;100
2021-04-14 11:25:00;2021-Q2;128.55;129.25;128.55;129.12;20;0.44;3.61;7.11;5.1;Neutro;100
2022-08-17 10:45:00;2022-Q3;198.76;199.87;198.76;199.87;7;0.56;4.38;7.95;1.5;Neutro;100
2024-07-31 13:20:00;2024-Q3;243.04;245.38;243.0;245.08;25;0.84;4.56;7.28;4.3;Alta;100
2021-07-01 11:50:00;2021-Q3;155.99;155.99;154.23;154.64;22;-0.87;-4.3;10.51;4.9;Baixa;100
2021-07-01 12:25:00;2021-Q3;154.27;154.27;153.0;153.0;12;-0.82;-4.34;6.7;3.6;Baixa;100
2021-07-01 14:10:00;2021-Q3;153.41;153.41;151.89;151.89;18;-0.99;-5.87;8.23;4.0;Baixa;100
2024-08-02 12:10:00;2024-Q3;245.55;247.08;245.55;246.78;31;0.5;2.82;3.95;8.5;Neutro;100
2023-02-15 13:55:00;2023-Q1;172.28;172.43;171.39;171.39;20;-0.52;-3.66;6.12;4.3;Neutro;100
2021-12-28 11:05:00;2021-Q4;211.1;211.64;208.64;210.82;36;-0.13;-0.9;12.15;6.1;Neutro;100
2025-01-06 10:45:00;2025-Q1;357.56;357.56;354.31;354.31;12;-0.91;-6.2;10.06;2.4;Baixa;100
2023-08-24 10:50:00;2023-Q3;151.03;151.71;150.98;151.71;85;0.45;2.47;4.57;10.4;Neutro;100
